,09:29:00,24/12/15
,09:30:00,25/12/15
,09:31:00,26/12/15
,09:32:00,27/12/15
,09:33:00,28/12/15
,09:34:00,29/12/15
,09:35:00,30/12/15
,09:36:00,31/12/15
,09:37:00,01/01/16
,09:38:00,02/01/16
,09:39:00,03/01/16
,09:40:00,04/01/16
,09:41:00,05/01/16
,09:42:00,06/01/16
,09:43:00,07/01/16
,09:44:00,08/01/16
,09:45:00,09/01/16
,09:46:00,10/01/16
,09:47:00,11/01/16
,09:48:00,12/01/16
,09:49:00,13/01/16
,09:50:00,14/01/16
,09:51:00,15/01/16
,09:52:00,16/01/16
,09:53:00,17/01/16
,09:54:00,18/01/16
,09:55:00,19/01/16
,09:56:00,20/01/16
,09:57:00,21/01/16
,09:58:00,22/01/16
,09:59:00,23/01/16
,10:00:00,24/01/16
,10:01:00,25/01/16
,10:02:00,26/01/16
,10:03:00,27/01/16
,10:04:00,28/01/16
,10:05:00,29/01/16
,10:06:00,30/01/16
,10:07:00,31/01/16
,10:08:00,01/02/16
,10:09:00,02/02/16
,10:10:00,03/02/16
,10:11:00,04/02/16
,10:12:00,05/02/16
,10:13:00,06/02/16
,10:14:00,07/02/16
,10:15:00,08/02/16
,10:16:00,09/02/16
,10:17:00,10/02/16
,10:18:00,11/02/16
,10:19:00,12/02/16
,10:20:00,13/02/16
,10:21:00,14/02/16
,10:22:00,15/02/16
,10:23:00,16/02/16
,10:24:00,17/02/16
,10:25:00,18/02/16
,10:26:00,19/02/16
,10:27:00,20/02/16
,10:28:00,21/02/16
,10:29:00,22/02/16
,10:30:00,23/02/16
,10:31:00,24/02/16
,10:32:00,25/02/16
,10:33:00,26/02/16
,10:34:00,27/02/16
,10:35:00,28/02/16
,10:36:00,29/02/16
,10:37:00,01/03/16
,10:38:00,02/03/16
,10:39:00,03/03/16
,10:40:00,04/03/16
,10:41:00,05/03/16
,10:42:00,06/03/16
,10:43:00,07/03/16
,10:44:00,08/03/16
,10:45:00,09/03/16
,10:46:00,10/03/16
,10:47:00,11/03/16
,10:48:00,12/03/16
,10:49:00,13/03/16
,10:50:00,14/03/16
,10:51:00,15/03/16
,10:52:00,16/03/16
,10:53:00,17/03/16
,10:54:00,18/03/16
,10:55:00,19/03/16
,10:56:00,20/03/16
,10:57:00,21/03/16
,10:58:00,22/03/16
,10:59:00,23/03/16
,11:00:00,24/03/16
,11:01:00,25/03/16
,11:02:00,26/03/16
,11:03:00,27/03/16
,11:04:00,28/03/16
,11:05:00,29/03/16
,11:06:00,30/03/16
,11:07:00,31/03/16
,11:08:00,01/04/16
,11:09:00,02/04/16
,11:10:00,03/04/16
,11:11:00,04/04/16
,11:12:00,05/04/16
,11:13:00,06/04/16
,11:14:00,07/04/16
,11:15:00,08/04/16
,11:16:00,09/04/16
,11:17:00,10/04/16
,11:18:00,11/04/16
,11:19:00,12/04/16
,11:20:00,13/04/16
,11:21:00,14/04/16
,11:22:00,15/04/16
,11:23:00,16/04/16
,11:24:00,17/04/16
,11:25:00,18/04/16
,11:26:00,19/04/16
,11:27:00,20/04/16
,11:28:00,21/04/16
,11:29:00,22/04/16
,11:30:00,23/04/16
,11:31:00,24/04/16
,11:32:00,25/04/16
,11:33:00,26/04/16
,11:34:00,27/04/16
,11:35:00,28/04/16
,11:36:00,29/04/16
,11:37:00,30/04/16
,11:38:00,01/05/16
,11:39:00,02/05/16
,11:40:00,03/05/16
,11:41:00,04/05/16
,11:42:00,05/05/16
,11:43:00,06/05/16
,11:44:00,07/05/16
,11:45:00,08/05/16
,11:46:00,09/05/16
,11:47:00,10/05/16
,11:48:00,11/05/16
,11:49:00,12/05/16
,11:50:00,13/05/16
,11:51:00,14/05/16
,11:52:00,15/05/16
,11:53:00,16/05/16
,11:54:00,17/05/16
,11:55:00,18/05/16
,11:56:00,19/05/16
,11:57:00,20/05/16
,11:58:00,21/05/16
,11:59:00,22/05/16
,12:00:00,23/05/16
,12:01:00,24/05/16
,12:02:00,25/05/16
,12:03:00,26/05/16
,12:04:00,27/05/16
,12:05:00,28/05/16
,12:06:00,29/05/16
,12:07:00,30/05/16
,12:08:00,31/05/16
,12:09:00,01/06/16
,12:10:00,02/06/16
,12:11:00,03/06/16
,12:12:00,04/06/16
,12:13:00,05/06/16
,12:14:00,06/06/16
,12:15:00,07/06/16
,12:16:00,08/06/16
,12:17:00,09/06/16
,12:18:00,10/06/16
,12:19:00,11/06/16
,12:20:00,12/06/16
,12:21:00,13/06/16
,12:22:00,14/06/16
,12:23:00,15/06/16
,12:24:00,16/06/16
,12:25:00,17/06/16
,12:26:00,18/06/16
,12:27:00,19/06/16
,12:28:00,20/06/16
,12:29:00,21/06/16
,12:30:00,22/06/16
,12:31:00,23/06/16
,12:32:00,24/06/16
,12:33:00,25/06/16
,12:34:00,26/06/16
,12:35:00,27/06/16
,12:36:00,28/06/16
,12:37:00,29/06/16
,12:38:00,30/06/16
,12:39:00,01/07/16
,12:40:00,02/07/16
,12:41:00,03/07/16
,12:42:00,04/07/16
,12:43:00,05/07/16
,12:44:00,06/07/16
,12:45:00,07/07/16
,12:46:00,08/07/16
,12:47:00,09/07/16
,12:48:00,10/07/16
,12:49:00,11/07/16
,12:50:00,12/07/16
,12:51:00,13/07/16
,12:52:00,14/07/16
,12:53:00,15/07/16
,12:54:00,16/07/16
,12:55:00,17/07/16
,12:56:00,18/07/16
,12:57:00,19/07/16
,12:58:00,20/07/16
,12:59:00,21/07/16
,13:00:00,22/07/16
,13:01:00,23/07/16
,13:02:00,24/07/16
,13:03:00,25/07/16
,13:04:00,26/07/16
,13:05:00,27/07/16
,13:06:00,28/07/16
,13:07:00,29/07/16
,13:08:00,30/07/16
,13:09:00,31/07/16
,13:10:00,01/08/16
,13:11:00,02/08/16
,13:12:00,03/08/16
,13:13:00,04/08/16
,13:14:00,05/08/16
,13:15:00,06/08/16
,13:16:00,07/08/16
,13:17:00,08/08/16
,13:18:00,09/08/16
,13:19:00,10/08/16
,13:20:00,11/08/16
,13:21:00,12/08/16
,13:22:00,13/08/16
,13:23:00,14/08/16
,13:24:00,15/08/16
,13:25:00,16/08/16
,13:26:00,17/08/16
,13:27:00,18/08/16
,13:28:00,19/08/16
,13:29:00,20/08/16
,13:30:00,21/08/16
,13:31:00,22/08/16
,13:32:00,23/08/16
,13:33:00,24/08/16
,13:34:00,25/08/16
,13:35:00,26/08/16
,13:36:00,27/08/16
,13:37:00,28/08/16
,13:38:00,29/08/16
,13:39:00,30/08/16
,13:40:00,31/08/16
,13:41:00,01/09/16
,13:42:00,02/09/16
,13:43:00,03/09/16
,13:44:00,04/09/16
,13:45:00,05/09/16
,13:46:00,06/09/16
,13:47:00,07/09/16
,13:48:00,08/09/16
,13:49:00,09/09/16
,13:50:00,10/09/16
,13:51:00,11/09/16
,13:52:00,12/09/16
,13:53:00,13/09/16
,13:54:00,14/09/16
,13:55:00,15/09/16
,13:56:00,16/09/16
,13:57:00,17/09/16
,13:58:00,18/09/16
,13:59:00,19/09/16
,14:00:00,20/09/16
,14:01:00,21/09/16
,14:02:00,22/09/16
,14:03:00,23/09/16
,14:04:00,24/09/16
,14:05:00,25/09/16
,14:06:00,26/09/16
,14:07:00,27/09/16
,14:08:00,28/09/16
,14:09:00,29/09/16
,14:10:00,30/09/16
,14:11:00,01/10/16
,14:12:00,02/10/16
,14:13:00,03/10/16
,14:14:00,04/10/16
,14:15:00,05/10/16
,14:16:00,06/10/16
,14:17:00,07/10/16
,14:18:00,08/10/16
,14:19:00,09/10/16
,14:20:00,10/10/16
,14:21:00,11/10/16
,14:22:00,12/10/16
,14:23:00,13/10/16
,14:24:00,14/10/16
,14:25:00,15/10/16
,14:26:00,16/10/16
,14:27:00,17/10/16
,14:28:00,18/10/16
